barcode,location,author,title,publisher_code,status,description
31459,CSE,FRED HALLSAL,"DATA COMMUNICATION, COMPUTER NETWORK AND OPEN SYSTEMS",PEARSONEDUCATION,Available,"A comprehensive guide authored by FRED HALLSAL, covering key principles and applications related to 'DATA COMMUNICATION, COMPUTER NETWORK AND OPEN SYSTEMS'. Ideal for engineering students and professionals."
31460,CSE,FRED HALLSAL,"DATA COMMUNICATION, COMPUTER NETWORK AND OPEN SYSTEMS",PEARSONEDUCATION,Available,"A comprehensive guide authored by FRED HALLSAL, covering key principles and applications related to 'DATA COMMUNICATION, COMPUTER NETWORK AND OPEN SYSTEMS'. Ideal for engineering students and professionals."
31463,CSE,FRED HALLSAL,"DATA COMMUNICATION, COMPUTER NETWORK AND OPEN SYSTEMS",PEARSONEDUCATION,Available,"A comprehensive guide authored by FRED HALLSAL, covering key principles and applications related to 'DATA COMMUNICATION, COMPUTER NETWORK AND OPEN SYSTEMS'. Ideal for engineering students and professionals."
31464,CSE,FRED HALLSAL,"DATA COMMUNICATION, COMPUTER NETWORK AND OPEN SYSTEMS",PEARSONEDUCATION,Not for loan,"A comprehensive guide authored by FRED HALLSAL, covering key principles and applications related to 'DATA COMMUNICATION, COMPUTER NETWORK AND OPEN SYSTEMS'. Ideal for engineering students and professionals."
31466,ECE,ALAN V OPPENHEIM,Signal And Systems,PEARSONEDUCATION,Available,"A comprehensive guide authored by ALAN V OPPENHEIM, covering key principles and applications related to 'Signal And Systems'. Ideal for engineering students and professionals."
31468,ECE,ALAN V OPPENHEIM,Signal And Systems,PEARSONEDUCATION,Available,"A comprehensive guide authored by ALAN V OPPENHEIM, covering key principles and applications related to 'Signal And Systems'. Ideal for engineering students and professionals."
31469,ECE,ALAN V OPPENHEIM,Signal And Systems,PEARSONEDUCATION,Available,"A comprehensive guide authored by ALAN V OPPENHEIM, covering key principles and applications related to 'Signal And Systems'. Ideal for engineering students and professionals."
31470,ECE,ALAN V OPPENHEIM,Signal And Systems,PEARSONEDUCATION,Available,"A comprehensive guide authored by ALAN V OPPENHEIM, covering key principles and applications related to 'Signal And Systems'. Ideal for engineering students and professionals."
31471,ECE,ALAN V OPPENHEIM,Signal And Systems,PEARSONEDUCATION,Available,"A comprehensive guide authored by ALAN V OPPENHEIM, covering key principles and applications related to 'Signal And Systems'. Ideal for engineering students and professionals."
31472,ECE,ALAN V OPPENHEIM,Signal And Systems,PEARSONEDUCATION,Not for loan,"A comprehensive guide authored by ALAN V OPPENHEIM, covering key principles and applications related to 'Signal And Systems'. Ideal for engineering students and professionals."
31473,EIE,JOSEPH J CARR,INTRODUCTION TO BIOMEDICAL EQUIPMENT TECHNOLOGY,PEARSIONEDUCATION,Not for loan,"A comprehensive guide authored by JOSEPH J CARR, covering key principles and applications related to 'INTRODUCTION TO BIOMEDICAL EQUIPMENT TECHNOLOGY'. Ideal for engineering students and professionals."
31474,ECE,JACOB MILLMAN,INTEGRATED ELCTROINCS,TATAMCGRAW-HILLPUBLISHINGCOLTD,Available,"A comprehensive guide authored by JACOB MILLMAN, covering key principles and applications related to 'INTEGRATED ELCTROINCS'. Ideal for engineering students and professionals."
31475,ECE,JACOB MILLMAN,INTEGRATED ELCTROINCS,TATAMCGRAW-HILLPUBLISHINGCOLTD,Available,"A comprehensive guide authored by JACOB MILLMAN, covering key principles and applications related to 'INTEGRATED ELCTROINCS'. Ideal for engineering students and professionals."
31476,ECE,JACOB MILLMAN,INTEGRATED ELCTROINCS,TATAMCGRAW-HILLPUBLISHINGCOLTD,Available,"A comprehensive guide authored by JACOB MILLMAN, covering key principles and applications related to 'INTEGRATED ELCTROINCS'. Ideal for engineering students and professionals."
31477,ECE,JACOB MILLMAN,INTEGRATED ELCTROINCS,TATAMCGRAW-HILLPUBLISHINGCOLTD,Available,"A comprehensive guide authored by JACOB MILLMAN, covering key principles and applications related to 'INTEGRATED ELCTROINCS'. Ideal for engineering students and professionals."
31478,ECE,JACOB MILLMAN,INTEGRATED ELCTROINCS,TATAMCGRAW-HILLPUBLISHINGCOLTD,Not for loan,"A comprehensive guide authored by JACOB MILLMAN, covering key principles and applications related to 'INTEGRATED ELCTROINCS'. Ideal for engineering students and professionals."
31479,ECE,JOHN G PROAKIS,DIGITAL COMMUNICATIONS,MCGRAW-HILL,Available,"A comprehensive guide authored by JOHN G PROAKIS, covering key principles and applications related to 'DIGITAL COMMUNICATIONS'. Ideal for engineering students and professionals."
31480,ECE,JOHN G PROAKIS,DIGITAL COMMUNICATIONS,MCGRAW-HILL,Available,"A comprehensive guide authored by JOHN G PROAKIS, covering key principles and applications related to 'DIGITAL COMMUNICATIONS'. Ideal for engineering students and professionals."
31481,ECE,JOHN G PROAKIS,DIGITAL COMMUNICATIONS,MCGRAW-HILL,Available,"A comprehensive guide authored by JOHN G PROAKIS, covering key principles and applications related to 'DIGITAL COMMUNICATIONS'. Ideal for engineering students and professionals."
31482,ECE,JOHN G PROAKIS,DIGITAL COMMUNICATIONS,MCGRAW-HILL,Available,"A comprehensive guide authored by JOHN G PROAKIS, covering key principles and applications related to 'DIGITAL COMMUNICATIONS'. Ideal for engineering students and professionals."
31483,ECE,JOHN G PROAKIS,DIGITAL COMMUNICATIONS,MCGRAW-HILL,Available,"A comprehensive guide authored by JOHN G PROAKIS, covering key principles and applications related to 'DIGITAL COMMUNICATIONS'. Ideal for engineering students and professionals."
31484,ECE,JOHN G PROAKIS,DIGITAL COMMUNICATIONS,MCGRAW-HILL,Available,"A comprehensive guide authored by JOHN G PROAKIS, covering key principles and applications related to 'DIGITAL COMMUNICATIONS'. Ideal for engineering students and professionals."
31485,ECE,JOHN G PROAKIS,DIGITAL COMMUNICATIONS,MCGRAW-HILL,Not for loan,"A comprehensive guide authored by JOHN G PROAKIS, covering key principles and applications related to 'DIGITAL COMMUNICATIONS'. Ideal for engineering students and professionals."
31486,IT,BEHROUS A FOROUZAN,TCP/IP PROTOCOL SOITE,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by BEHROUS A FOROUZAN, covering key principles and applications related to 'TCP/IP PROTOCOL SOITE'. Ideal for engineering students and professionals."
31487,IT,BEHROUS A FOROUZAN,TCP/IP PROTOCOL SOITE,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by BEHROUS A FOROUZAN, covering key principles and applications related to 'TCP/IP PROTOCOL SOITE'. Ideal for engineering students and professionals."
31488,IT,BEHROUS A FOROUZAN,TCP/IP PROTOCOL SOITE,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by BEHROUS A FOROUZAN, covering key principles and applications related to 'TCP/IP PROTOCOL SOITE'. Ideal for engineering students and professionals."
31489,IT,BEHROUS A FOROUZAN,TCP/IP PROTOCOL SOITE,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by BEHROUS A FOROUZAN, covering key principles and applications related to 'TCP/IP PROTOCOL SOITE'. Ideal for engineering students and professionals."
31490,IT,BEHROUS A FOROUZAN,TCP/IP PROTOCOL SOITE,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by BEHROUS A FOROUZAN, covering key principles and applications related to 'TCP/IP PROTOCOL SOITE'. Ideal for engineering students and professionals."
31491,IT,BEHROUS A FOROUZAN,TCP/IP PROTOCOL SOITE,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by BEHROUS A FOROUZAN, covering key principles and applications related to 'TCP/IP PROTOCOL SOITE'. Ideal for engineering students and professionals."
31492,IT,BEHROUS A FOROUZAN,TCP/IP PROTOCOL SOITE,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by BEHROUS A FOROUZAN, covering key principles and applications related to 'TCP/IP PROTOCOL SOITE'. Ideal for engineering students and professionals."
31493,IT,BEHROUS A FOROUZAN,TCP/IP PROTOCOL SOITE,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by BEHROUS A FOROUZAN, covering key principles and applications related to 'TCP/IP PROTOCOL SOITE'. Ideal for engineering students and professionals."
31494,IT,BEHROUS A FOROUZAN,TCP/IP PROTOCOL SOITE,TATAMCGRAW-HILL,Not for loan,"A comprehensive guide authored by BEHROUS A FOROUZAN, covering key principles and applications related to 'TCP/IP PROTOCOL SOITE'. Ideal for engineering students and professionals."
31495,MATHS,MARY L BOAS,MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES,JOHNWILEY&SONS,Available,"A comprehensive guide authored by MARY  L BOAS, covering key principles and applications related to 'MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES'. Ideal for engineering students and professionals."
31496,MATHS,MARY L BOAS,MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES,JOHNWILEY&SONS,Available,"A comprehensive guide authored by MARY  L BOAS, covering key principles and applications related to 'MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES'. Ideal for engineering students and professionals."
31497,MATHS,MARY L BOAS,MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES,JOHNWILEY&SONS,Available,"A comprehensive guide authored by MARY  L BOAS, covering key principles and applications related to 'MATHEMATICAL METHODS IN THE PHYSICAL SCIENCES'. Ideal for engineering students and professionals."
31498,MATHS,HOWARD ANTON,CALCULUS,JOHNWILEY&SONS,Not for loan,"A comprehensive guide authored by HOWARD ANTON, covering key principles and applications related to 'CALCULUS'. Ideal for engineering students and professionals."
31504,MECH,JAMES SUCEC,HEAT TRANSFER,JAICOPLUBLISHINGHOUSE,Available,"A comprehensive guide authored by JAMES SUCEC, covering key principles and applications related to 'HEAT TRANSFER'. Ideal for engineering students and professionals."
31505,MECH,C ELANCHEZHIAN,"DESIGN JIGS, FIXTURES AND PRESS TOOLS",ESWARPRESS,Available,"A comprehensive guide authored by C ELANCHEZHIAN, covering key principles and applications related to 'DESIGN JIGS, FIXTURES AND PRESS TOOLS'. Ideal for engineering students and professionals."
31506,MECH,C ELANCHEZHIAN,"DESIGN JIGS, FIXTURES AND PRESS TOOLS",ESWARPRESS,Available,"A comprehensive guide authored by C ELANCHEZHIAN, covering key principles and applications related to 'DESIGN JIGS, FIXTURES AND PRESS TOOLS'. Ideal for engineering students and professionals."
31507,MECH,C ELANCHEZHIAN,"DESIGN JIGS, FIXTURES AND PRESS TOOLS",ESWARPRESS,Available,"A comprehensive guide authored by C ELANCHEZHIAN, covering key principles and applications related to 'DESIGN JIGS, FIXTURES AND PRESS TOOLS'. Ideal for engineering students and professionals."
31508,MECH,C ELANCHEZHIAN,"DESIGN JIGS, FIXTURES AND PRESS TOOLS",ESWARPRESS,Available,"A comprehensive guide authored by C ELANCHEZHIAN, covering key principles and applications related to 'DESIGN JIGS, FIXTURES AND PRESS TOOLS'. Ideal for engineering students and professionals."
31509,MECH,C ELANCHEZHIAN,"DESIGN JIGS, FIXTURES AND PRESS TOOLS",ESWARPRESS,Not for loan,"A comprehensive guide authored by C ELANCHEZHIAN, covering key principles and applications related to 'DESIGN JIGS, FIXTURES AND PRESS TOOLS'. Ideal for engineering students and professionals."
31510,MECH,C ELANCHEZHIAN,ENGINEERING METROLOGY,ESWARPRESS,Available,"A comprehensive guide authored by ELANCHEZHIAN C, covering key principles and applications related to 'ENGINEERING METROLOGY'. Ideal for engineering students and professionals."
31511,MECH,C ELANCHEZHIAN,ENGINEERING METROLOGY,ESWARPRESS,Available,"A comprehensive guide authored by ELANCHEZHIAN C, covering key principles and applications related to 'ENGINEERING METROLOGY'. Ideal for engineering students and professionals."
31512,MECH,C ELANCHEZHIAN,ENGINEERING METROLOGY,ESWARPRESS,Available,"A comprehensive guide authored by ELANCHEZHIAN C, covering key principles and applications related to 'ENGINEERING METROLOGY'. Ideal for engineering students and professionals."
31513,MECH,ELANCHEZHIAN C,ENGINEERING METROLOGY,ESWARPRESS,Available,"A comprehensive guide authored by ELANCHEZHIAN C, covering key principles and applications related to 'ENGINEERING METROLOGY'. Ideal for engineering students and professionals."
31514,MECH,C ELANCHEZHIAN,ENGINEERING METROLOGY,ESWARPRESS,Not for loan,"A comprehensive guide authored by ELANCHEZHIAN C, covering key principles and applications related to 'ENGINEERING METROLOGY'. Ideal for engineering students and professionals."
31515,CSE,DR R KESAVAN,COMPUTER AIDED MANUFACTURING,ESWARPRESS,Available,"A comprehensive guide authored by DR R KESAVAN, covering key principles and applications related to 'COMPUTER AIDED MANUFACTURING'. Ideal for engineering students and professionals."
31516,CSE,DR R KESAVAN,COMPUTER AIDED MANUFACTURING,ESWARPRESS,Available,"A comprehensive guide authored by DR R KESAVAN, covering key principles and applications related to 'COMPUTER AIDED MANUFACTURING'. Ideal for engineering students and professionals."
31517,CSE,DR R KESAVAN,COMPUTER AIDED MANUFACTURING,ESWARPRESS,Available,"A comprehensive guide authored by DR R KESAVAN, covering key principles and applications related to 'COMPUTER AIDED MANUFACTURING'. Ideal for engineering students and professionals."
31518,CSE,DR R KESAVAN,COMPUTER AIDED MANUFACTURING,ESWARPRESS,Available,"A comprehensive guide authored by DR R KESAVAN, covering key principles and applications related to 'COMPUTER AIDED MANUFACTURING'. Ideal for engineering students and professionals."
31519,CSE,DR R KESAVAN,COMPUTER AIDED MANUFACTURING,ESWARPRESS,Not for loan,"A comprehensive guide authored by DR R KESAVAN, covering key principles and applications related to 'COMPUTER AIDED MANUFACTURING'. Ideal for engineering students and professionals."
31520,EIE,A J BOUWENS,Digital Instrumentation,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by A J BOUWENS, covering key principles and applications related to 'Digital Instrumentation'. Ideal for engineering students and professionals."
31521,EIE,A J BOUWENS,Digital Instrumentation,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by A J BOUWENS, covering key principles and applications related to 'Digital Instrumentation'. Ideal for engineering students and professionals."
31522,MBA,JACK CLARK FRANCIS,SCHAUMS OUTLINES INVESTMENTS,TATAMCGRAW-HILLPUBLISHINGCOLTD,Available,"A comprehensive guide authored by JACK CLARK FRANCIS, covering key principles and applications related to 'SCHAUMS OUTLINES INVESTMENTS'. Ideal for engineering students and professionals."
31523,MBA,JACK CLARK FRANCIS,SCHAUMS OUTLINES INVESTMENTS,TATAMCGRAW-HILLPUBLISHINGCOLTD,Not for loan,"A comprehensive guide authored by JACK CLARK FRANCIS, covering key principles and applications related to 'SCHAUMS OUTLINES INVESTMENTS'. Ideal for engineering students and professionals."
31524,MBA,JAE K SHIM,SCHAUMS OUTLINES FINANCIAL MANAGEMENT,TATAMCGRAW-HILLPUBLISHINGCOLTD,Not for loan,"A comprehensive guide authored by JAE K SHIM, covering key principles and applications related to 'SCHAUMS OUTLINES FINANCIAL MANAGEMENT'. Ideal for engineering students and professionals."
31525,PHY,P K PALANISAMY,MATERIALS SICENCE FOR ELECTRONICS ENGINEEERS,SCITECPUBLICATIONS,Available,"A comprehensive guide authored by P K PALANISAMY, covering key principles and applications related to 'MATERIALS SICENCE FOR ELECTRONICS ENGINEEERS'. Ideal for engineering students and professionals."
31526,PHY,P K PALANISAMY,MATERIALS SICENCE FOR ELECTRONICS ENGINEEERS,SCITECPUBLICATIONS,Not for loan,"A comprehensive guide authored by P K PALANISAMY, covering key principles and applications related to 'MATERIALS SICENCE FOR ELECTRONICS ENGINEEERS'. Ideal for engineering students and professionals."
31527,PHY,DR.M.ARUMUGAM,PHYSICS II,ANURADHA,Not for loan,"A comprehensive guide authored by DR.M.ARUMUGAM, covering key principles and applications related to 'PHYSICS II'. Ideal for engineering students and professionals."
31528,CSE,SILBERSCHATZ,OPERATING SYSTEM  CONCEPTS,JOHNWILEY&SONS,Available,"A comprehensive guide authored by SILBERSCHATZ, covering key principles and applications related to 'OPERATING SYSTEM  CONCEPTS'. Ideal for engineering students and professionals."
31529,CSE,SILBERSCHATZ,OPERATING SYSTEM  CONCEPTS,JOHNWILEY&SONS,Available,"A comprehensive guide authored by SILBERSCHATZ, covering key principles and applications related to 'OPERATING SYSTEM  CONCEPTS'. Ideal for engineering students and professionals."
31530,CSE,SILBERSCHATZ,OPERATING SYSTEM  CONCEPTS,JOHNWILEY&SONS,Available,"A comprehensive guide authored by SILBERSCHATZ, covering key principles and applications related to 'OPERATING SYSTEM  CONCEPTS'. Ideal for engineering students and professionals."
31531,CSE,SILBERSCHATZ,OPERATING SYSTEM  CONCEPTS,JOHNWILEY&SONS,Available,"A comprehensive guide authored by SILBERSCHATZ, covering key principles and applications related to 'OPERATING SYSTEM  CONCEPTS'. Ideal for engineering students and professionals."
31532,CSE,SILBERSCHATZ,OPERATING SYSTEM  CONCEPTS,JOHNWILEY&SONS,Not for loan,"A comprehensive guide authored by SILBERSCHATZ, covering key principles and applications related to 'OPERATING SYSTEM  CONCEPTS'. Ideal for engineering students and professionals."
31533,CSE,WOLF WAYNE,COMPUTERS AS COMPONENTS,MORGANKAOFMANNPUBLISHERS,Not for loan,"A comprehensive guide authored by WOLF WAYNE, covering key principles and applications related to 'COMPUTERS AS COMPONENTS'. Ideal for engineering students and professionals."
31534,MATHS,A SINGARAVELU,PROBABILITY AND QUEUEING THEORY,MEENAKSHIAGENCY,Not for loan,"A comprehensive guide authored by A SINGARAVELU, covering key principles and applications related to 'PROBABILITY AND QUEUEING THEORY'. Ideal for engineering students and professionals."
31535,MATHS,A SINGARAVELU,PROBABILITY AND RANDOM PROCESSES,MEENAKSHIAGENCY,Not for loan,"A comprehensive guide authored by A SINGARAVELU, covering key principles and applications related to 'PROBABILITY AND RANDOM PROCESSES'. Ideal for engineering students and professionals."
31536,MATHS,A SINGARAVELU,Probability and Statistics,MEENAKSHIAGENCY,Not for loan,"A comprehensive guide authored by A SINGARAVELU, covering key principles and applications related to 'Probability and Statistics'. Ideal for engineering students and professionals."
31537,IT,P KALAISELVI,PRINCIPLES OF COMPILER DESIGN,PRATHEEBA-COIMBATOR,Not for loan,"A comprehensive guide authored by P KALAISELVI, covering key principles and applications related to 'PRINCIPLES OF COMPILER DESIGN'. Ideal for engineering students and professionals."
31538,CSE,DAVID J KRUGLINSKI,PROGRAMMING MICROSOFT VISUAL C++,MICROSOFTPRESS,Available,"A comprehensive guide authored by KRUGLINSKI D T, covering key principles and applications related to 'PROGRAMMING MICROSOFT VISUAL C++'. Ideal for engineering students and professionals."
31540,MCA,DAVID J KRUGLINSKI,PROGRAMMING MICROSOFT VISUAL C++,MICROSOFTPRESS,Available,"A comprehensive guide authored by KRUGLINSKI D T, covering key principles and applications related to 'PROGRAMMING MICROSOFT VISUAL C++'. Ideal for engineering students and professionals."
31541,MCA,DAVID J KRUGLINSKI,PROGRAMMING MICROSOFT VISUAL C++,WPPUBLICATIONS&DISTRIBUTORSPVTLTD,Available,"A comprehensive guide authored by KRUGLINSKI D T, covering key principles and applications related to 'PROGRAMMING MICROSOFT VISUAL C++'. Ideal for engineering students and professionals."
31542,MCA,DAVID J KRUGLINSKI,PROGRAMMING MICROSOFT VISUAL C++,WPPUBLICATIONS&DISTRIBUTORSPVTLTD,Available,"A comprehensive guide authored by KRUGLINSKI D T, covering key principles and applications related to 'PROGRAMMING MICROSOFT VISUAL C++'. Ideal for engineering students and professionals."
31543,CSE,DAVID J KRUGLINSKI,PROGRAMMING MICROSOFT VISUAL C++,WPPUBLICATIONS&DISTRIBUTORSPVTLTD,Available,"A comprehensive guide authored by KRUGLINSKI D T, covering key principles and applications related to 'PROGRAMMING MICROSOFT VISUAL C++'. Ideal for engineering students and professionals."
31544,CSE,DAVID J KRUGLINSKI,VISUAL C++,WPPUBLISHERS,Not for loan,"A comprehensive guide authored by DAVID J KRUGLINSKI, covering key principles and applications related to 'VISUAL C++'. Ideal for engineering students and professionals."
31545,CSE,DAVID J KRUGLINSKI,PROGRAMMING  MICROSOFT VISUAL C+,WPPUBLISHER&DISTRIBUTORS(P)LTD.,Not for loan,"A comprehensive guide authored by DAVID J KRUGLINSKI, covering key principles and applications related to 'PROGRAMMING  MICROSOFT VISUAL C+'. Ideal for engineering students and professionals."
